"pnt_id","n_pnts","n_pnts_last","n_pnts_last_incoherent","intensity_avg","thickness","sum_errs_last","sum_errs_last_sq","rmse_last","bias_last","buffer_m"
51,16,16,14,10.9375,0.799999999999997,6.45921567464048,3.43763663322007,0.463521617161761,0.40370097966503,1
52,22,22,21,11.3181818181818,0.675999999999998,11.2397965526307,6.77356088838765,0.554877582256076,0.510899843301394,1
53,38,38,36,15.4736842105263,0.681000000000001,17.3080122272712,9.3334174805097,0.495596861861632,0.45547400598082,1
54,28,28,23,17.8928571428571,0.404,10.6013774306208,4.4227955509456,0.397438025310039,0.378620622522173,1
56,50,50,50,24.96,0.353000000000002,20.8711739832516,9.03631528878318,0.425119166558817,0.417423479665032,1
57,43,43,35,20.3953488372093,0.853999999999999,19.2618296255962,10.8780859657092,0.50296992294628,0.447949526176657,1
58,20,20,15,19.95,0.441999999999997,6.64426959330064,2.57894287142297,0.359092110148843,0.332213479665032,1
60,54,54,35,22.537037037037,0.500999999999998,13.7572279019117,4.25356525083586,0.28065944998758,0.254763479665031,1
61,45,45,44,19.8888888888889,0.621000000000002,23.4943565849263,12.8139926964371,0.533624768216542,0.522096812998362,1
65,0,0,0,NA,NA,0,0,NA,NA,1
