"pnt_id","n_pnts","n_pnts_last","n_pnts_last_incoherent","intensity_avg","thickness","sum_errs_last","sum_errs_last_sq","rmse_last","bias_last","buffer_m"
1,3,3,3,8.66666666666667,0.0330000000000013,1.72014761620279,0.986848607176048,0.573541224085374,0.573382538734264,0.25
6,1,1,1,11,NA,0.872382538734264,0.76105129388844,0.872382538734264,0.872382538734264,0.25
7,0,0,0,NA,NA,0,0,NA,NA,0.25
8,0,0,0,NA,NA,0,0,NA,NA,0.25
9,1,1,1,7,NA,0.457382538734262,0.209198786738998,0.457382538734262,0.457382538734262,0.25
10,1,1,1,4,NA,0.762382538734261,0.581227135366897,0.762382538734261,0.762382538734261,0.25
11,2,2,2,4.5,0.0730000000000004,2.01576507746853,2.03431892377085,1.00854323748931,1.00788253873426,0.25
12,1,1,1,16,NA,0.765382538734265,0.585810430599309,0.765382538734265,0.765382538734265,0.25
13,2,2,2,4.5,0.034000000000006,1.03076507746853,0.531816322464353,0.515662836776295,0.515382538734265,0.25
14,0,0,0,NA,NA,0,0,NA,NA,0.25
15,0,0,0,NA,NA,0,0,NA,NA,0.25
16,3,3,3,7.33333333333333,0.201000000000001,0.962147616202792,0.329244678454905,0.331282698237676,0.320715872067597,0.25
17,3,3,0,8.33333333333333,0.0289999999999964,-0.206852383797205,0.0147313028941954,0.0700744910653308,-0.0689507945990684,0.25
18,1,1,0,31,NA,-0.11061746126574,0.0122362227368774,0.11061746126574,-0.11061746126574,0.25
19,0,0,0,NA,NA,0,0,NA,NA,0.25
20,0,0,0,NA,NA,0,0,NA,NA,0.25
21,2,2,2,6.5,0.124000000000002,4.55276507746853,10.3715229253085,2.27722670427304,2.27638253873426,0.25
22,3,3,0,18.3333333333333,0.0649999999999977,0.447147616202795,0.0687636635586138,0.15139756004046,0.149049205400932,0.25
23,3,3,2,11.6666666666667,0.165999999999997,0.798147616202794,0.226255205750067,0.274624110224665,0.266049205400931,0.25
24,3,3,3,4.66666666666667,0.302999999999997,1.76014761620279,1.08631521027479,0.601751668125313,0.586715872067598,0.25
25,1,1,1,20,NA,0.419382538734268,0.1758817137952,0.419382538734268,0.419382538734268,0.25
26,3,3,3,11.3333333333333,0.106000000000002,2.4111476162028,1.94431227570681,0.805049123906281,0.803715872067599,0.25
27,3,3,3,13.6666666666667,0.0450000000000017,1.98914761620279,1.32005541301508,0.663338880968864,0.663049205400929,0.25
28,2,2,2,18.5,0.0450000000000017,1.35176507746853,0.914646912331748,0.676256945373483,0.675882538734264,0.25
29,0,0,0,NA,NA,0,0,NA,NA,0.25
62,1,1,0,1,NA,-0.0606174612657355,0.00367447661030295,0.0606174612657355,-0.0606174612657355,0.25
63,4,4,0,36.25,0.046999999999997,-0.0344698450629437,0.0014510425546657,0.0190462762414711,-0.00861746126573593,0.25
64,4,4,0,27.25,0.201000000000001,-0.0834698450629503,0.0226045537587082,0.0751740542985215,-0.0208674612657376,0.25
68,3,3,0,8,0.0450000000000017,-0.151852383797202,0.00871238215496431,0.0538899562533512,-0.050617461265734,0.25
69,0,0,0,NA,NA,0,0,NA,NA,0.25
70,3,3,0,34.3333333333333,0.054000000000002,-0.130852383797208,0.00716544878180407,0.0488721078660213,-0.0436174612657361,0.25
