pnt_id,n_pnts,n_pnts_last,n_pnts_last_incoherent,intensity_avg,thickness,sum_errs_last,sum_errs_last_sq,rmse_last,bias_last,buffer_m
1,0,0,0,,,0.0,0.0,,,0.5
6,0,0,0,,,0.0,0.0,,,0.5
7,0,0,0,,,0.0,0.0,,,0.5
8,0,0,0,,,0.0,0.0,,,0.5
9,10,10,10,6.2,0.448999999999998,6.92518233619523,5.05691543895504,0.711119922302493,0.692518233619523,0.5
10,11,11,11,12.2727272727273,0.515000000000001,11.8581005698148,12.9753017385311,1.08608143586059,1.07800914271044,0.5
11,7,7,7,9.85714285714286,0.238,8.71342763533668,10.8912830223213,1.24735623404757,1.24477537647667,0.5
12,6,6,6,16.1666666666667,0.167999999999999,6.35650940171714,6.75338346235307,1.06092596838431,1.05941823361952,0.5
13,0,0,0,,,0.0,0.0,,,0.5
14,0,0,0,,,0.0,0.0,,,0.5
15,0,0,0,,,0.0,0.0,,,0.5
16,0,0,0,,,0.0,0.0,,,0.5
17,0,0,0,,,0.0,0.0,,,0.5
18,0,0,0,,,0.0,0.0,,,0.5
19,0,0,0,,,0.0,0.0,,,0.5
20,0,0,0,,,0.0,0.0,,,0.5
21,0,0,0,,,0.0,0.0,,,0.5
22,0,0,0,,,0.0,0.0,,,0.5
23,0,0,0,,,0.0,0.0,,,0.5
24,0,0,0,,,0.0,0.0,,,0.5
25,0,0,0,,,0.0,0.0,,,0.5
26,0,0,0,,,0.0,0.0,,,0.5
27,0,0,0,,,0.0,0.0,,,0.5
28,0,0,0,,,0.0,0.0,,,0.5
29,0,0,0,,,0.0,0.0,,,0.5
62,0,0,0,,,0.0,0.0,,,0.5
63,0,0,0,,,0.0,0.0,,,0.5
64,0,0,0,,,0.0,0.0,,,0.5
68,0,0,0,,,0.0,0.0,,,0.5
69,0,0,0,,,0.0,0.0,,,0.5
70,0,0,0,,,0.0,0.0,,,0.5
