"pnt_id","n_pnts","n_pnts_last","n_pnts_last_incoherent","intensity_avg","thickness","sum_errs_last","sum_errs_last_sq","rmse_last","bias_last","buffer_m"
2,49,49,0,21.7755102040816,0.227000000000004,3.69599344735675,0.416551256385796,0.0922011173939324,0.0754284377011581,1
3,48,48,35,23.8333333333333,0.222000000000001,11.0250752137371,2.63567971809501,0.234328816253954,0.229689066952856,1
4,49,49,2,23.8775510204082,0.164999999999999,5.9729934473567,0.793569892289103,0.127260771348705,0.121897825456259,1
5,51,51,51,23.1764705882353,0.271999999999998,16.0308299145957,5.18271709315093,0.318781906304723,0.314329998325406,1
30,49,49,49,23.3061224489796,0.283000000000001,-54.7120065526433,61.3335768778875,1.11879651884028,-1.11657156229884,1
31,7,7,7,28.7142857142857,0.119,-7.19357236466331,7.40519133794968,1.02853511211332,-1.0276531949519,1
32,44,44,44,24.0454545454545,0.231000000000002,-47.7545977207409,51.9567381470408,1.08666230167761,-1.08533176638048,1
33,0,0,0,NA,NA,0,0,NA,NA,1
34,49,49,49,21.6734693877551,0.322000000000003,-54.7950065526433,61.5449634511067,1.12072283026067,-1.11826543984986,1
35,53,53,53,21.188679245283,0.169000000000004,-55.4393336181652,58.0614847929476,1.04666122173055,-1.04602516260689,1
36,49,49,49,22.3265306122449,0.233000000000004,-46.8600065526434,44.9339088186486,0.957610853801981,-0.956326664339661,1
37,51,51,51,23.6666666666667,0.154000000000003,-52.5661700854043,54.245641949954,1.0313292579164,-1.03070921736087,1
38,55,55,55,24.1636363636364,0.155000000000001,-62.4084971509263,70.8915234661304,1.13531352070399,-1.13469994819866,1
39,44,44,44,20.8409090909091,0.207999999999998,-32.8385977207408,24.6207468923783,0.748039056047366,-0.746331766380474,1
40,52,52,52,22.1923076923077,0.228000000000002,-51.4412518517848,51.0270349822837,0.990600390810889,-0.989254843303554,1
41,49,49,49,22.5510204081633,0.229000000000006,-58.2700065526433,69.4377747274509,1.19041902010064,-1.1891838071968,1
42,0,0,0,NA,NA,0,0,NA,NA,1
43,0,0,0,NA,NA,0,0,NA,NA,1
44,52,52,52,23.5,0.263999999999996,-58.0262518517848,65.0118088455147,1.11813554329651,-1.11588945868817,1
45,47,47,47,20.7234042553191,0.383000000000003,-44.6718430198824,42.7423689955961,0.953631011602118,-0.950464745103881,1
46,42,42,42,22.4047619047619,0.308999999999997,-46.99643418798,52.7665881758365,1.12086900997392,-1.11896271876143,1
47,0,0,0,NA,NA,0,0,NA,NA,1
48,0,0,0,NA,NA,0,0,NA,NA,1
49,0,0,0,NA,NA,0,0,NA,NA,1
50,27,27,27,14.5185185185185,0.329999999999998,-31.2682076922729,36.426081195819,1.16151371854303,-1.15808176638048,1
55,0,0,0,NA,NA,0,0,NA,NA,1
59,21,21,2,23.4285714285714,0.323,-0.206717093989962,0.173836664616555,0.0909831655324882,-0.00984367114237914,1
66,0,0,0,NA,NA,0,0,NA,NA,1
67,0,0,0,NA,NA,0,0,NA,NA,1
71,0,0,0,NA,NA,0,0,NA,NA,1
72,0,0,0,NA,NA,0,0,NA,NA,1
73,0,0,0,NA,NA,0,0,NA,NA,1
74,45,45,0,21.5111111111111,0.221999999999994,0.760320512878611,0.144511361828975,0.0566688944324789,0.0168960113973025,1
75,5,5,0,17.2,0.172000000000004,0.612591168097623,0.0920487878462427,0.135682561772869,0.122518233619525,1
76,0,0,0,NA,NA,0,0,NA,NA,1
77,0,0,0,NA,NA,0,0,NA,NA,1
78,52,52,1,21.4038461538462,0.321000000000005,-1.47325185178482,0.240819577284377,0.0680525217534755,-0.0283317663804774,1
79,0,0,0,NA,NA,0,0,NA,NA,1
80,0,0,0,NA,NA,0,0,NA,NA,1
81,0,0,0,NA,NA,0,0,NA,NA,1
82,29,29,1,25.8275862068966,0.262999999999998,1.75362877496622,0.203197030358261,0.083706595619968,0.060469957757456,1
83,55,55,0,25.5454545454545,0.240000000000002,-1.71049715092613,0.259287354605935,0.068660873416304,-0.0310999481986569,1
84,43,43,0,26.3953488372093,0.0810000000000031,-1.86251595436039,0.100917294889465,0.0484449567513351,-0.0433143245200091,1
85,49,49,1,26.3469387755102,0.277999999999999,1.37999344735675,0.184091998260154,0.0612942049163677,0.0281631315787092,1
86,0,0,0,NA,NA,0,0,NA,NA,1
87,0,0,0,NA,NA,0,0,NA,NA,1
88,50,50,9,23.44,0.265999999999998,-7.39708831902386,1.21331833198878,0.155776656273576,-0.147941766380477,1
