"pnt_id","n_pnts","n_pnts_last","n_pnts_last_incoherent","intensity_avg","thickness","sum_errs_last","sum_errs_last_sq","rmse_last","bias_last"
51,8,8,8,15.125,0.459,-247.772499853809,7674.06897335074,30.9719005175472,-30.9715624817262
52,2,2,2,7,0.0679999999999978,-62.0948749634523,1927.88906036339,31.0474560983939,-31.0474374817261
53,6,6,6,6.16666666666667,0.375000000000004,-185.246624890357,5719.4793968781,30.874691353054,-30.8744374817262
54,14,14,14,14.7857142857143,0.377999999999997,-434.055124744166,13457.557486691,31.004098216078,-31.0039374817262
56,13,13,13,24,0.324000000000005,-401.510312325294,12400.9381391966,30.8855681249307,-30.8854086404072
57,13,13,13,19.6153846153846,0.440999999999995,-403.478312325294,12522.8480840667,31.0370102694617,-31.0367932557919
58,11,11,11,24,0.329999999999998,-341.089802736787,10576.6746337291,31.0083194609698,-31.0081638851625
60,15,15,15,21.9333333333333,0.360999999999997,-464.904821913801,14409.2196481802,30.9937839447205,-30.9936547942534
61,13,13,13,11,0.266999999999996,-399.999312325294,12307.7409282083,30.7692915448158,-30.7691778711765
65,12,12,12,22.0833333333333,0.512,-372.607057531041,11570.002941495,31.0510372095885,-31.0505881275867
