"pnt_id","n_pnts","n_pnts_last","n_pnts_last_incoherent","intensity_avg","thickness","sum_errs_last","sum_errs_last_sq","rmse_last","bias_last"
1,12,12,12,9.33333333333333,0.111999999999998,4.27471788798713,1.53482266848976,0.357633735881857,0.356226490665594
6,12,12,6,14.6666666666667,0.241999999999997,2.53971788798712,0.594874579213479,0.222649683586398,0.21164315733226
7,15,15,10,7.13333333333333,0.244,4.17764735998389,1.27375623095869,0.29140535695816,0.278509823998926
8,12,12,12,5.83333333333333,0.175000000000001,4.64671788798709,1.83691117754494,0.39124919356093,0.387226490665591
9,12,12,12,10,0.120999999999999,5.1457178879871,2.21865738189587,0.429986180194189,0.428809823998925
10,12,12,12,11.75,0.145999999999997,5.24171788798712,2.31463486810368,0.439188159003223,0.436809823998927
11,10,10,10,9.5,0.149000000000001,4.06509823998927,1.67471197007639,0.409232448625031,0.406509823998927
12,12,12,12,12.5,0.106000000000002,7.6047178879871,4.83332209632258,0.634647021075664,0.633726490665591
13,14,14,14,10.3571428571429,0.157,7.22233753598499,3.75274996312127,0.517738900213589,0.515881252570357
14,13,13,13,4.30769230769231,0.152999999999999,6.47802771198604,3.25224884901993,0.500172958471515,0.498309823998926
15,11,11,11,12.9090909090909,0.223999999999997,4.00240806398817,1.50348602824341,0.369703324331995,0.363855278544379
16,12,12,0,15.5833333333333,0.167999999999999,0.708717887987106,0.0784970037294084,0.0808790268082566,0.0590598239989255
17,14,14,9,14.7857142857143,0.201000000000001,-2.77466246401501,0.608134342086703,0.208418250860877,-0.198190176001072
18,12,12,4,16.5,0.128,-2.2912821120129,0.452236059735859,0.19412969456351,-0.190940176001075
19,9,9,0,13.7777777777778,0.151,-0.277211584009681,0.0299713624787954,0.0577074638719535,-0.0308012871121868
20,11,11,11,11.7272727272727,0.106999999999999,3.45240806398817,1.09513122184459,0.31552715224534,0.313855278544379
21,14,14,14,13.9285714285714,0.0740000000000016,31.943337535985,72.8893912812762,2.28175044461916,2.28166696685607
22,14,14,7,6.07142857142857,0.169,2.61833753598497,0.517413103739132,0.19224484086318,0.187024109713212
23,12,12,9,11.0833333333333,0.137999999999998,2.85371788798713,0.702617148684809,0.241974025583465,0.237809823998927
24,10,10,10,8.5,0.172999999999998,3.35409823998928,1.15569040034992,0.33995446759087,0.335409823998928
25,14,14,14,13.6428571428571,0.128,5.58333753598498,2.24498736005278,0.400445052415147,0.398809823998927
26,14,14,14,9.42857142857143,0.195,6.17433753598497,2.78083657201949,0.445680584853859,0.441024109713212
27,14,14,14,8.57142857142857,0.131,3.97533753598494,1.1535469660722,0.287047403510814,0.283952681141781
28,14,14,14,8.57142857142857,0.131,4.08733753598498,1.21804836664798,0.294963480384556,0.291952681141784
29,12,12,6,14.1666666666667,0.231999999999999,2.9667178879871,0.806586168908554,0.259259549632627,0.247226490665592
62,13,13,5,6.61538461538461,0.305000000000003,-1.70597228801396,0.351895649805508,0.164526277958523,-0.131228637539535
63,16,16,0,22.125,0.136000000000003,0.921957183982837,0.0738167530685981,0.0679230967108198,0.0576223239989273
64,7,7,0,21,0.192,-0.28483123200753,0.0388038329609891,0.0744540442737178,-0.0406901760010757
68,13,13,0,11.2307692307692,0.0570000000000022,-0.0259722880139464,0.00418665844189849,0.0179457696791419,-0.0019978683087651
69,11,11,0,13.1818181818182,0.143000000000001,-0.486591936011802,0.0340574283810647,0.0556428778265832,-0.0442356305465275
70,10,10,0,11.5,0.193000000000001,-0.19190176001074,0.0455091285495223,0.0674604540079018,-0.019190176001074
