"pnt_id","n_pnts","n_pnts_last","n_pnts_last_incoherent","intensity_avg","thickness","sum_errs_last","sum_errs_last_sq","rmse_last","bias_last"
1,0,0,0,NA,NA,0,0,NA,NA
2,1,1,0,9,NA,0.1804742410975,0.0325709516997184,0.1804742410975,0.1804742410975
3,0,0,0,NA,NA,0,0,NA,NA
4,0,0,0,NA,NA,0,0,NA,NA
5,0,0,0,NA,NA,0,0,NA,NA
6,0,0,0,NA,NA,0,0,NA,NA
7,0,0,0,NA,NA,0,0,NA,NA
8,0,0,0,NA,NA,0,0,NA,NA
9,0,0,0,NA,NA,0,0,NA,NA
10,0,0,0,NA,NA,0,0,NA,NA
18,0,0,0,NA,NA,0,0,NA,NA
19,0,0,0,NA,NA,0,0,NA,NA
23,0,0,0,NA,NA,0,0,NA,NA
24,0,0,0,NA,NA,0,0,NA,NA
26,0,0,0,NA,NA,0,0,NA,NA
27,0,0,0,NA,NA,0,0,NA,NA
35,0,0,0,NA,NA,0,0,NA,NA
36,0,0,0,NA,NA,0,0,NA,NA
37,0,0,0,NA,NA,0,0,NA,NA
51,0,0,0,NA,NA,0,0,NA,NA
52,0,0,0,NA,NA,0,0,NA,NA
54,0,0,0,NA,NA,0,0,NA,NA
55,0,0,0,NA,NA,0,0,NA,NA
