pnt_id,n_pnts,n_pnts_last,n_pnts_last_incoherent,intensity_avg,thickness,sum_errs_last,sum_errs_last_sq,rmse_last,bias_last,buffer_m
1,0,0,0,,,0.0,0.0,,,0.5
2,1,1,0,9.0,,0.1804742410975,0.0325709516997184,0.1804742410975,0.1804742410975,0.5
3,0,0,0,,,0.0,0.0,,,0.5
4,0,0,0,,,0.0,0.0,,,0.5
5,0,0,0,,,0.0,0.0,,,0.5
6,0,0,0,,,0.0,0.0,,,0.5
7,0,0,0,,,0.0,0.0,,,0.5
8,0,0,0,,,0.0,0.0,,,0.5
9,0,0,0,,,0.0,0.0,,,0.5
10,0,0,0,,,0.0,0.0,,,0.5
18,0,0,0,,,0.0,0.0,,,0.5
19,0,0,0,,,0.0,0.0,,,0.5
23,0,0,0,,,0.0,0.0,,,0.5
24,0,0,0,,,0.0,0.0,,,0.5
26,0,0,0,,,0.0,0.0,,,0.5
27,0,0,0,,,0.0,0.0,,,0.5
35,0,0,0,,,0.0,0.0,,,0.5
36,0,0,0,,,0.0,0.0,,,0.5
37,0,0,0,,,0.0,0.0,,,0.5
51,0,0,0,,,0.0,0.0,,,0.5
52,0,0,0,,,0.0,0.0,,,0.5
54,0,0,0,,,0.0,0.0,,,0.5
55,0,0,0,,,0.0,0.0,,,0.5
