pnt_id,n_pnts,n_pnts_last,n_pnts_last_incoherent,intensity_avg,thickness,sum_errs_last,sum_errs_last_sq,rmse_last,bias_last,buffer_m
1,0,0,0,,,0.0,0.0,,,0.5
2,0,0,0,,,0.0,0.0,,,0.5
3,0,0,0,,,0.0,0.0,,,0.5
4,0,0,0,,,0.0,0.0,,,0.5
5,0,0,0,,,0.0,0.0,,,0.5
6,0,0,0,,,0.0,0.0,,,0.5
7,0,0,0,,,0.0,0.0,,,0.5
8,0,0,0,,,0.0,0.0,,,0.5
9,0,0,0,,,0.0,0.0,,,0.5
10,0,0,0,,,0.0,0.0,,,0.5
18,0,0,0,,,0.0,0.0,,,0.5
19,0,0,0,,,0.0,0.0,,,0.5
23,0,0,0,,,0.0,0.0,,,0.5
24,0,0,0,,,0.0,0.0,,,0.5
26,0,0,0,,,0.0,0.0,,,0.5
27,0,0,0,,,0.0,0.0,,,0.5
35,0,0,0,,,0.0,0.0,,,0.5
36,0,0,0,,,0.0,0.0,,,0.5
37,0,0,0,,,0.0,0.0,,,0.5
51,14,14,4,26.1428571428571,0.621999999999957,1.29146171005993,0.662006739182172,0.217453893172483,0.092247265004281,0.5
52,14,14,2,27.4285714285714,0.343999999999937,0.557461710059783,0.174064611298738,0.111504199568171,0.0398186935756988,0.5
54,13,13,3,29.0,0.505999999999972,0.236285873626798,0.27264469339044,0.144819434891666,0.0181758364328306,0.5
55,11,11,1,29.1818181818182,0.317999999999984,0.335934200761926,0.0998117988401435,0.0952564952880301,0.0305394727965387,0.5
