"pnt_id","n_pnts","n_pnts_last","n_pnts_last_incoherent","intensity_avg","thickness","sum_errs_last","sum_errs_last_sq","rmse_last","bias_last"
1,10,10,0,26.5,0.140999999999963,0.0478828585870588,0.0254157768146472,0.050414062338446,0.00478828585870588
2,0,0,0,NA,NA,0,0,NA,NA
3,0,0,0,NA,NA,0,0,NA,NA
4,0,0,0,NA,NA,0,0,NA,NA
5,0,0,0,NA,NA,0,0,NA,NA
6,0,0,0,NA,NA,0,0,NA,NA
7,0,0,0,NA,NA,0,0,NA,NA
8,11,11,8,22.5454545454545,0.591999999999985,-3.68882885555411,1.55987621141531,0.376572606957121,-0.335348077777646
9,0,0,0,NA,NA,0,0,NA,NA
10,0,0,0,NA,NA,0,0,NA,NA
18,0,0,0,NA,NA,0,0,NA,NA
19,0,0,0,NA,NA,0,0,NA,NA
23,0,0,0,NA,NA,0,0,NA,NA
24,0,0,0,NA,NA,0,0,NA,NA
26,0,0,0,NA,NA,0,0,NA,NA
27,0,0,0,NA,NA,0,0,NA,NA
35,0,0,0,NA,NA,0,0,NA,NA
36,0,0,0,NA,NA,0,0,NA,NA
37,0,0,0,NA,NA,0,0,NA,NA
51,14,14,1,20.5,0.326000000000022,-0.684963997978798,0.184606905609123,0.114831213280662,-0.0489259998556284
52,14,14,0,25.1428571428571,0.218000000000075,-0.290963997978793,0.078168074865723,0.0747223789702939,-0.0207831427127709
54,13,13,3,23.6923076923077,0.455000000000041,-0.0522522838375608,0.229556792397403,0.132884215766208,-0.00401940644904313
55,12,12,0,34.6666666666667,0.275999999999954,0.451459430305022,0.125617301434269,0.102313774502047,0.0376216191920851
