"pnt_id","n_pnts","n_pnts_last","n_pnts_last_incoherent","intensity_avg","thickness","sum_errs_last","sum_errs_last_sq","rmse_last","bias_last"
7,13,13,0,23.0769230769231,0.0989999999999327,-0.499761313809586,0.0322256439062049,0.0497885095689024,-0.0384431779853528
8,13,13,0,22.0769230769231,0.0679999999999836,-0.825761313807106,0.0588615190292585,0.0672889972885375,-0.0635201010620851
9,13,13,0,23.3846153846154,0.0799999999999272,-0.838761313808845,0.0625960416570935,0.0693907784036808,-0.0645201010622189
10,15,15,0,24.2666666666667,0.0380000000000109,-0.929570746701756,0.0595977182082447,0.0630331755021352,-0.0619713831134504
28,11,11,0,22.2727272727273,0.0850000000000364,-0.483951880914674,0.0280986748219029,0.0505413195693321,-0.0439956255376976
40,14,14,0,28.7142857142857,0.0519999999999072,-0.768666030256327,0.0459673904335727,0.0573008292345711,-0.0549047164468805
41,12,12,0,25,0.0470000000000255,-0.81785659736056,0.0577350344871867,0.069363195384384,-0.0681547164467133
42,11,11,0,23.2727272727273,0.0589999999999691,-1.14995188091507,0.1236957571291,0.106042768871424,-0.104541080083188
43,11,11,0,24.7272727272727,0.102000000000089,-0.400951880914135,0.022857491891702,0.0455845786240977,-0.0364501709921941
48,13,13,0,21.4615384615385,0.0519999999999072,-1.20176131380776,0.114579865797296,0.0938820314573626,-0.0924431779852127
49,13,13,0,21.0769230769231,0.0579999999999927,-1.15176131380827,0.10494339415272,0.0898474750951773,-0.0885970241390973
