"pnt_id","n_pnts","n_pnts_last","n_pnts_last_incoherent","intensity_avg","thickness","sum_errs_last","sum_errs_last_sq","rmse_last","bias_last"
12,10,10,0,24.5,0.053000000000111,1.21006990331762,0.149595317091525,0.122309164452843,0.121006990331762
13,12,12,4,25.5833333333333,0.220000000000027,1.90788388398209,0.355169992896532,0.172039237989606,0.158990323665175
14,14,14,7,26.2142857142857,0.162000000000035,2.76869786464408,0.580248347548902,0.203583669628011,0.197764133188863
15,13,13,3,28,0.104000000000042,2.16929087431186,0.378525607490227,0.170638080223393,0.16686852879322
16,10,10,2,9.1,0.174000000000206,1.4060699033173,0.227538857301523,0.150843911810031,0.14060699033173
17,10,10,1,24.3,0.184999999999945,1.37906990331885,0.218257879823978,0.147735533919223,0.137906990331885
18,10,10,0,23.2,0.145999999999958,0.94806990331881,0.117646054157896,0.108464765780366,0.094806990331881
19,13,13,0,25.3076923076923,0.218000000000075,-0.188709125685136,0.0534622410859351,0.0641286214067749,-0.0145160865911643
20,12,12,1,27.75,0.15300000000002,1.33588388398175,0.175090395956853,0.120792658426486,0.111323656998479
21,13,13,0,28.6923076923077,0.188999999999851,0.463290874313998,0.061392956478617,0.0687207036761104,0.0356377595626152
22,13,13,0,31.7692307692308,0.218000000000075,0.526290874313645,0.0759452372604593,0.0764325933599511,0.0404839134087419
23,14,14,1,26.3571428571429,0.195000000000164,1.33869786464629,0.164856355200648,0.108514763709384,0.0956212760461637
24,12,12,3,28.3333333333333,0.197000000000116,1.62688388398124,0.262654264329844,0.147945447246005,0.135573656998436
25,15,15,1,28.1333333333333,0.125999999999976,2.47310485497746,0.421289574914193,0.167588697891434,0.164873656998498
26,12,12,0,26.8333333333333,0.0620000000001255,1.82688388398219,0.281235060462823,0.153089042842944,0.152240323665183
27,12,12,2,29.3333333333333,0.188000000000102,1.79788388398129,0.309104455023315,0.160495185551705,0.14982365699844
56,12,12,10,24.1666666666667,0.164999999999964,3.18388388398284,0.878958632223814,0.270641003333415,0.26532365699857
57,12,12,12,21.25,0.167999999999893,3.53188388398166,1.06640589749411,0.29810595117258,0.294323656998472
58,11,11,11,29.7272727272727,0.0920000000000982,3.26747689364902,0.978152840957303,0.298199573342373,0.297043353968093
59,15,15,15,26.0666666666667,0.0799999999999272,5.75410485497696,2.21437324547128,0.384219836853094,0.383606990331797
60,13,13,0,23.8461538461538,0.179000000000087,1.39729087431238,0.196379214418239,0.122906848534927,0.107483913408644
61,11,11,0,23.8181818181818,0.120999999999867,1.01847689364877,0.105063198445102,0.0977302402465359,0.0925888085135243
62,15,15,0,17.5333333333333,0.053000000000111,2.30010485497769,0.358457756259473,0.154587139667669,0.153340323665179
63,14,14,0,13.5714285714286,0.0930000000000746,-0.0263021353539443,0.00858427159458127,0.024762113333797,-0.00187872395385317
64,15,15,1,27.6,0.16599999999994,-1.9218951450232,0.269249129897574,0.133977393590007,-0.128126343001547
65,13,13,5,27.6153846153846,0.100000000000136,-2.42570912568681,0.462862366341569,0.188692335326292,-0.186593009668216
