"pnt_id","n_pnts","n_pnts_last","n_pnts_last_incoherent","intensity_avg","thickness","sum_errs_last","sum_errs_last_sq","rmse_last","bias_last"
4,0,0,0,NA,NA,0,0,NA,NA
5,0,0,0,NA,NA,0,0,NA,NA
6,0,0,0,NA,NA,0,0,NA,NA
9,0,0,0,NA,NA,0,0,NA,NA
10,0,0,0,NA,NA,0,0,NA,NA
11,0,0,0,NA,NA,0,0,NA,NA
12,0,0,0,NA,NA,0,0,NA,NA
13,0,0,0,NA,NA,0,0,NA,NA
14,0,0,0,NA,NA,0,0,NA,NA
19,10,10,10,11,0.164000000000001,-10.5430765348306,11.1465611819295,1.05577275878522,-1.05430765348306
20,8,8,8,12.375,0.179000000000002,-8.02566122786445,8.07563876805584,1.00471630125473,-1.00320765348306
21,0,0,0,NA,NA,0,0,NA,NA
22,0,0,0,NA,NA,0,0,NA,NA
23,0,0,0,NA,NA,0,0,NA,NA
24,0,0,0,NA,NA,0,0,NA,NA
