"pnt_id","n_pnts","n_pnts_last","n_pnts_last_incoherent","intensity_avg","thickness","sum_errs_last","sum_errs_last_sq","rmse_last","bias_last","buffer_m"
4,0,0,0,NA,NA,0,0,NA,NA,0.75
5,0,0,0,NA,NA,0,0,NA,NA,0.75
6,0,0,0,NA,NA,0,0,NA,NA,0.75
9,0,0,0,NA,NA,0,0,NA,NA,0.75
10,0,0,0,NA,NA,0,0,NA,NA,0.75
11,0,0,0,NA,NA,0,0,NA,NA,0.75
12,0,0,0,NA,NA,0,0,NA,NA,0.75
13,0,0,0,NA,NA,0,0,NA,NA,0.75
14,0,0,0,NA,NA,0,0,NA,NA,0.75
19,25,25,25,12.56,0.182000000000002,-26.4141913370764,27.9608279196673,1.05755998259517,-1.05656765348306,0.75
20,24,24,24,11.75,0.260000000000002,-24.7559836835933,25.6150132975975,1.03309835966051,-1.03149932014972,0.75
21,6,6,6,8.33333333333333,0.0869999999999997,-7.36124592089835,9.03684691799044,1.22724942574784,-1.22687432014973,0.75
22,0,0,0,NA,NA,0,0,NA,NA,0.75
23,0,0,0,NA,NA,0,0,NA,NA,0.75
24,0,0,0,NA,NA,0,0,NA,NA,0.75
