"pnt_id","n_pnts","n_pnts_last","n_pnts_last_incoherent","intensity_avg","thickness","sum_errs_last","sum_errs_last_sq","rmse_last","bias_last"
25,0,0,0,NA,NA,0,0,NA,NA
26,0,0,0,NA,NA,0,0,NA,NA
27,14,14,14,8.64285714285714,0.0799999999999983,-17.0459071487628,20.762765680303,1.21780732936299,-1.2175647963402
28,14,14,14,7.14285714285714,0.0640000000000001,-17.1749071487628,21.0735122549017,1.22688665953711,-1.22677908205449
29,11,11,11,8.54545454545454,0.0620000000000012,-13.1742841883136,15.7809808976772,1.19776234164444,-1.1976621989376
30,11,11,11,7.27272727272727,0.0450000000000017,-14.0752841883136,18.0124460892537,1.27964647423539,-1.27957128984669
31,10,10,10,6.8,0.0990000000000038,-11.9310765348305,14.2419756279984,1.19339748734436,-1.19310765348305
32,11,11,11,8.09090909090909,0.0670000000000002,-13.1512841883136,15.7282203456171,1.19575842595313,-1.19557128984669
33,13,13,13,7,0.0590000000000011,-15.3686994952797,18.1721401674009,1.18230999993822,-1.18220765348306
34,14,14,14,8,0.0440000000000005,-16.4259071487627,19.2742461899839,1.1733421797213,-1.17327908205448
35,14,14,14,7.5,0.132999999999999,-16.8529071487628,20.3011945260585,1.20419488592582,-1.20377908205448
36,10,10,10,7.9,0.0480000000000018,-11.8720765348305,14.0966041248874,1.18729120795563,-1.18720765348305
37,16,16,16,6.8125,0.0470000000000006,-20.0053224557289,25.0162496598556,1.25040617550497,-1.25033265348306
38,13,13,13,18.1538461538462,0.152000000000001,-15.9476994952797,19.5908756301342,1.22759538655342,-1.22674611502152
39,14,14,14,7.07142857142857,0.0459999999999994,-16.6589071487628,19.8248819565072,1.18998445237464,-1.18992193919734
40,12,12,12,8.75,0.0510000000000019,-14.0844918417967,16.5335688701365,1.17379615174216,-1.17370765348306
41,12,12,12,7.33333333333333,0.105,-14.2404918417966,16.908387658023,1.1870266655957,-1.18670765348305
42,13,13,13,7.30769230769231,0.0480000000000018,-15.3586994952797,18.1487860143312,1.18155002544999,-1.18143842271382
43,13,13,13,7.76923076923077,0.0829999999999984,-15.1576994952797,17.679889537631,1.16618673585953,-1.16597688425229
44,12,12,12,7.58333333333333,0.088000000000001,-14.0664918417967,16.4943313946111,1.17240249753128,-1.17220765348306
45,12,12,12,7.16666666666667,0.0959999999999965,-13.8264918417966,15.9424657209391,1.15262257919852,-1.15220765348305
46,9,9,9,8.11111111111111,0.097999999999999,-10.1018688813475,11.3449029884374,1.12273985254512,-1.12242987570528
47,12,12,12,8.08333333333333,0.0950000000000024,-13.5794918417967,15.3767861401186,1.13198888908411,-1.13162432014972
48,4,4,4,12.25,0.0459999999999994,-4.45999755859373,4.9740845556655,1.11513278981311,-1.11499938964843
49,0,0,0,NA,NA,0,0,NA,NA
50,0,0,0,NA,NA,0,0,NA,NA
51,0,0,0,NA,NA,0,0,NA,NA
52,0,0,0,NA,NA,0,0,NA,NA
53,0,0,0,NA,NA,0,0,NA,NA
54,12,12,12,7.33333333333333,0.102,-13.0459926757812,14.1952100747114,1.08762777313409,-1.0871660563151
55,12,12,12,5.58333333333333,0.0680000000000014,-13.4509926757813,15.0814725803267,1.12106618078234,-1.1209160563151
56,12,12,12,6,0.0629999999999988,-13.5109926757812,15.2168105070845,1.12608505107609,-1.1259160563151
57,11,11,11,7.09090909090909,0.0679999999999978,-12.4559932861328,14.1092687949259,1.1325461577961,-1.13236302601207
58,12,12,12,7.58333333333333,0.0450000000000017,-13.4869926757812,15.1610305363813,1.12401922197314,-1.1239160563151
