"pnt_id","n_pnts","n_pnts_last","n_pnts_last_incoherent","intensity_avg","thickness","sum_errs_last","sum_errs_last_sq","rmse_last","bias_last","buffer_m"
25,26,26,26,7.30769230769231,0.0589999999999975,-29.8651222626442,34.309097375488,1.14873002410836,-1.14865854856324,0.75
26,27,27,27,7.03703703703704,0.0380000000000109,-30.1866269650539,33.7522906491599,1.11807192919676,-1.11802322092792,0.75
27,28,28,28,7.14285714285714,0.046999999999997,-31.5571316674631,35.5709657884859,1.12711651363249,-1.12704041669511,0.75
28,30,30,30,7.23333333333333,0.0870000000000033,-34.979141072282,40.8025184718203,1.16622637127647,-1.16597136907607,0.75
29,28,28,28,6.5,0.0379999999999967,-31.0661316674631,34.4698031707199,1.10953341497869,-1.1095047024094,0.75
30,28,28,28,5.03571428571429,0.0430000000000064,-33.9061316674632,41.0600298804054,1.21096227793681,-1.21093327383797,0.75
31,31,31,31,5.51612903225806,0.0430000000000064,-34.7456457746913,38.9464245258168,1.12086407517877,-1.12082728305456,0.75
32,29,29,29,6.06896551724138,0.0430000000000064,-32.4986363698726,36.422162893145,1.12068579516641,-1.12064263344388,0.75
33,27,27,27,5.62962962962963,0.0380000000000109,-30.1896269650538,33.7588066773742,1.11817984834108,-1.11813433203903,0.75
34,28,28,28,5.85714285714286,0.0400000000000063,-30.9691316674631,34.2554542584523,1.10607824346156,-1.10604041669511,0.75
35,26,26,26,6.42307692307692,0.0409999999999968,-29.2881222626444,32.994305948908,1.12650422425559,-1.12646624087094,0.75
36,27,27,27,5.96296296296296,0.0420000000000016,-30.4216269650537,34.279640859292,1.12677252723073,-1.12672692463162,0.75
37,27,27,27,6.40740740740741,0.0390000000000015,-31.6566269650538,37.1192524742433,1.17251316780481,-1.17246766537236,0.75
38,28,28,28,17.2142857142857,0.182000000000002,-31.8941316674632,36.4162689579099,1.14043019699194,-1.13907613098083,0.75
39,29,29,29,6.58620689655172,0.10799999999999,-32.6626363698726,36.8049544355354,1.12655952343675,-1.12629780585768,0.75
40,28,28,28,6.25,0.0289999999999964,-30.6851316674633,33.6294035874841,1.09592432591144,-1.09589755955226,0.75
41,27,27,27,7.55555555555556,0.0730000000000075,-29.7286269650537,32.7397443417524,1.10117352118938,-1.10106025796495,0.75
42,28,28,28,7.03571428571429,0.0480000000000018,-30.6221316674632,33.4932189949804,1.0937030642171,-1.09364755955226,0.75
43,29,29,29,7.89655172413793,0.0719999999999885,-31.7616363698727,34.7946779617937,1.09536134742886,-1.09522884034044,0.75
44,28,28,28,7.25,0.0339999999999918,-30.6981316674632,33.6586177097467,1.09640024153309,-1.09636184526654,0.75
45,0,0,0,NA,NA,0,0,NA,NA,0.75
46,0,0,0,NA,NA,0,0,NA,NA,0.75
47,0,0,0,NA,NA,0,0,NA,NA,0.75
48,0,0,0,NA,NA,0,0,NA,NA,0.75
49,0,0,0,NA,NA,0,0,NA,NA,0.75
50,0,0,0,NA,NA,0,0,NA,NA,0.75
51,0,0,0,NA,NA,0,0,NA,NA,0.75
52,0,0,0,NA,NA,0,0,NA,NA,0.75
53,0,0,0,NA,NA,0,0,NA,NA,0.75
54,0,0,0,NA,NA,0,0,NA,NA,0.75
55,0,0,0,NA,NA,0,0,NA,NA,0.75
56,0,0,0,NA,NA,0,0,NA,NA,0.75
57,0,0,0,NA,NA,0,0,NA,NA,0.75
58,0,0,0,NA,NA,0,0,NA,NA,0.75
