"pnt_id","n_pnts","n_pnts_last","n_pnts_last_incoherent","intensity_avg","thickness","sum_errs_last","sum_errs_last_sq","rmse_last","bias_last","buffer_m"
1,29,29,29,20.2758620689655,0.109000000000002,-33.8901612802829,39.6365662621927,1.16909287354434,-1.16862625104424,0.75
2,25,25,25,14.8,0.260999999999996,-31.4523459312783,39.709088343232,1.26030295315423,-1.25809383725113,0.75
3,30,30,30,20.0666666666667,0.347000000000001,-41.8336151175341,58.5825231267325,1.39740859124706,-1.39445383725114,0.75
7,32,32,32,19.09375,0.207000000000001,-35.8135227920363,40.1415214304906,1.12001006455426,-1.11917258725113,0.75
8,28,28,28,21.4285714285714,0.153999999999996,-34.7667074430318,43.2217190867628,1.24243020911729,-1.24166812296542,0.75
15,21,21,21,20.1904761904762,0.161999999999999,-29.1125305822738,40.4082553763728,1.3871563130989,-1.38631098010828,0.75
16,0,0,0,NA,NA,0,0,NA,NA,0.75
17,29,29,29,22.0689655172414,0.229000000000006,-38.1741612802828,50.3733827397602,1.31795796515775,-1.31635038897527,0.75
18,0,0,0,NA,NA,0,0,NA,NA,0.75
59,24,24,13,23.4583333333333,0.209000000000003,-5.3018920940272,1.25086044902951,0.228296266671686,-0.220912170584467,0.75
