"pnt_id","n_pnts","n_pnts_last","n_pnts_last_incoherent","intensity_avg","thickness","sum_errs_last","sum_errs_last_sq","rmse_last","bias_last","buffer_m"
1,24,24,24,20.25,0.189999999999998,-26.1076044623893,28.4480459485238,1.08873102640421,-1.08781685259956,0.75
2,23,23,23,13.4782608695652,0.235000000000003,-23.4348709431231,23.9850674835145,1.02119000241012,-1.0189074323097,0.75
3,2,2,2,13.5,0.135999999999999,-2.64282244093424,3.50150322715281,1.32315970826518,-1.32141122046712,0.75
7,24,24,24,23.4583333333333,0.187000000000001,-24.5466044623893,25.1789789013746,1.02426760218734,-1.02277518593289,0.75
8,29,29,29,22.1724137931034,0.170999999999999,-33.6242720587204,39.0579254992706,1.1605279045401,-1.15945765719726,0.75
15,30,30,30,23.1333333333333,0.255000000000003,-38.9490055779866,50.6588645504678,1.29947251542652,-1.29830018593289,0.75
16,26,26,26,18.3846153846154,0.256,-28.9840715009219,32.3808297604058,1.11598231583049,-1.11477198080469,0.75
17,31,31,31,23.2258064516129,0.226000000000003,-39.4927390972528,50.4320366904413,1.27547633974137,-1.27395932571783,0.75
18,23,23,23,25.1739130434783,0.236999999999998,-24.3968709431231,25.9770567745828,1.06274985347861,-1.06073351926622,0.75
59,25,25,7,26.24,0.206,-4.2203379816555,0.786083947176161,0.177322750618883,-0.16881351926622,0.75
